Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
2074832;17;9;114;293
2079844;17;9;114;293
2084856;17;9;114;293
2089869;17;9;114;293
2094884;17;9;115;294
2099889;17;9;115;295
2104903;17;9;115;295
2109911;17;9;115;295
2114929;17;9;117;296
2119945;17;9;120;299
2124954;17;9;125;299
2129969;17;9;125;299
2134971;17;9;125;299
2139974;17;9;125;299
2144984;17;9;125;299
2149990;17;9;125;299
2154995;17;9;125;299
2160005;17;9;125;299
2165015;17;9;125;299
2170018;17;10;125;299
2175021;17;14;125;299
2180033;17;14;125;299
2185048;17;14;125;299
2190050;17;14;125;299
2195060;17;14;125;299
2200083;17;14;125;299
2205097;17;14;125;299
2210110;17;14;125;299
2215115;17;14;125;299
2220124;17;14;125;299
2225141;17;14;125;299
2230153;17;14;125;299
2235164;17;14;125;299
Timeout
2247431;17;14;125;299
2252442;17;14;125;299
2257456;17;14;125;299
2262468;17;14;125;299
2267480;17;14;125;299
2272492;17;14;125;299
2277502;17;14;125;299
2282510;17;14;125;299
2287528;17;14;125;299
2292545;17;14;125;299
2297560;17;14;125;299
2302569;17;14;125;299
2307581;17;14;125;299
2312589;17;14;125;299
2317609;17;14;125;299
2322613;17;14;125;299
2327638;17;14;125;299
2332645;17;14;125;299
2337660;17;14;125;299
2342667;17;14;125;299
2347679;17;14;125;299
2352690;17;14;125;299
2357697;17;14;125;299
2362708;17;14;125;299
2367717;17;14;125;299
2372740;17;14;125;299
2377746;17;14;125;299
2382761;17;14;125;299
2387770;17;14;125;299
2392783;17;14;125;299
2397790;17;14;125;299
2402798;17;14;125;299
2407810;17;14;125;299
2412826;17;14;125;299
2417839;17;14;125;299
2422855;17;14;125;299
2427873;17;14;125;299
2432877;17;14;125;299
2437887;17;14;125;299
2442904;17;14;130;299
2447906;17;14;131;299
2452923;17;14;132;301
2457928;17;14;135;301
2462939;17;14;135;301
2467952;17;14;135;302
2472957;17;14;135;302
2477971;17;14;135;302
2482981;17;14;135;302
2487986;17;14;135;302
2492990;17;14;135;302
2497997;17;14;135;302
2503013;17;14;135;302
2508034;18;14;135;302
2513041;18;14;135;302
2518059;18;14;135;302
2523065;18;14;135;302
2528077;18;14;135;302
2533093;18;14;135;302
2538102;18;14;135;302
2543115;18;14;135;302
2548124;18;14;135;302
2553126;18;14;135;302
2558138;18;14;135;302
2563147;18;14;135;302
2568155;18;14;135;302
2573158;18;14;135;302
2578174;18;14;135;302
2583176;18;14;135;303
2588182;18;14;135;303
2593194;18;14;135;303
2598202;18;14;135;303
2603205;18;14;135;303
2608217;18;14;135;303
