Time in ms;Wheel1_cw_count;Wheel1_ccw_count;Wheel2_cw_count;Wheel2_ccw_count
4690660;124;46;77;317
4695674;124;46;77;317
4700685;124;46;77;317
4705692;124;46;77;317
4710694;124;46;77;317
4715710;124;46;77;317
4720722;124;46;77;317
4725733;124;46;77;317
4730743;124;46;77;317
4735751;124;46;77;317
4740762;124;46;77;317
4745782;124;46;77;317
4750788;124;46;77;317
4755793;124;46;77;317
4760798;124;46;77;317
4765802;124;46;77;317
4770815;124;46;77;317
4775821;124;46;77;317
4780827;124;46;77;317
4785842;124;46;77;317
4790856;124;46;77;317
4795873;124;46;77;317
4800875;124;46;77;317
4805886;124;46;77;317
4810896;124;46;77;317
4815898;124;46;77;317
4820908;124;46;77;317
4825915;124;46;77;317
4830926;124;46;77;317
4835940;124;46;77;317
4840943;124;46;77;317
4845957;124;46;77;317
4850975;124;46;77;317
4855990;124;46;77;317
4861006;124;46;77;317
4866021;124;46;77;317
4871030;124;46;77;317
4876034;124;46;77;317
4881048;124;46;77;317
4886066;124;46;77;317
4891070;124;46;77;317
4896072;124;46;77;317
4901086;124;46;77;317
4906101;124;46;77;317
4911108;124;46;77;317
4916113;124;46;77;317
4921126;124;46;77;317
4926144;124;46;77;317
4931154;124;46;77;317
4936164;124;46;77;317
4941175;124;46;77;317
4946178;124;46;77;317
4951190;124;46;77;317
4956207;124;46;77;317
4961215;124;46;77;317
4966230;124;46;77;317
4971248;124;46;77;317
4976253;124;46;77;317
4981262;124;46;77;317
4986268;124;46;77;317
4991285;124;46;77;317
4996290;124;46;77;317
5001306;124;46;77;317
5006329;124;46;77;317
5011344;124;46;77;317
5016350;124;46;77;317
5021366;124;46;77;317
5026381;124;46;77;317
5031387;124;46;77;317
5036405;124;46;77;317
5041420;124;46;77;317
5046432;124;46;77;317
5051438;124;46;77;317
5056447;124;46;77;317
5061460;124;46;77;317
5066464;124;46;77;317
5071472;124;46;77;317
5076484;124;46;77;317
5081494;124;46;77;317
5086497;124;46;77;317
5091508;124;46;77;317
5096521;124;46;77;317
5101530;124;46;77;317
5106542;124;46;77;317
5111555;124;46;77;317
5116559;124;46;77;317
5121574;124;46;77;317
5126580;124;46;77;317
5131593;124;46;77;317
5136598;124;46;77;317
5141605;124;46;77;317
5146623;124;46;77;317
5151633;124;46;77;317
5156640;124;46;77;317
5161649;124;46;77;317
5166656;124;46;77;317
5171659;124;46;77;317
5176668;124;46;77;317
5181683;124;46;77;317
5186686;124;46;77;317
5191695;124;46;77;317
5196703;124;46;77;317
5201718;124;46;77;317
5206723;124;46;77;317
5211728;124;46;77;317
5216751;124;46;77;317
5221757;124;46;77;317
5226768;124;46;77;317
5231780;124;46;77;317
5236788;124;46;77;317
5241797;124;46;77;317
5246816;124;46;77;317
5251826;124;46;77;317
5256838;124;46;77;317
5261851;124;46;77;317
5266854;124;46;77;317
5271873;124;46;77;317
